DetID,m_adc_i,cut_point_tot,high_slope,high_offset,low_slope,low_power,low_offset,tot_not,channel,flagged
0x18880707,1726.931202,1662.0,8.42059292,678.0130502,12.07858371,0.476599336,602.5272151,960.4368355,9,0
0x18880706,1754.051772,967.3333333,8.513608047,682.8012571,1.344060704,0.719973603,783.3701087,1201.200005,10,0
0x18880705,1691.245241,1076.333333,0.0,0.0,0.0,0.0,0.0,0.0,11,1
0x18880704,1818.227285,1060.333333,8.785558665,664.99541,1.315242799,0.720991049,753.1438656,1245.148324,12,0
0x18800707,1590.025966,1119.333333,7.709464858,664.1668255,5.801065831,0.559491421,699.4132411,1009.682016,13,0
0x18800706,1790.495976,1296.666667,8.70580853,678.5673509,7.773542929,0.530531808,616.8973873,951.2009873,14,0
0x18800705,1704.503581,1118.333333,8.428295753,696.5416383,7.868440785,0.523952264,640.6201446,905.5175274,15,0
0x18800704,1781.909384,1129.666667,0.0,0.0,0.273813625,0.918855687,673.127944,310.61604,16,1
0x18880800,1683.323726,682.6666667,0.0,0.0,0.0,0.0,0.0,0.0,18,1
0x18880802,1789.761469,1308.333333,8.763217343,691.5642877,9.807944642,0.496993558,639.785006,906.2415252,20,0
0x18880803,1663.252293,1169.0,8.213560943,680.4008876,9.230506125,0.500914557,643.3043,966.4405412,21,0
0x18800800,1739.615187,1097.0,8.54194671,667.9794371,2.9e-18,7.17704722,779.2220766,1277.954614,22,0
0x18800801,1706.817951,1073.0,8.377039009,679.4768846,3.701446232,0.614152445,690.8662152,991.7545711,23,0
0x18800802,1717.790098,1156.0,8.299345709,644.2305698,3.518143536,0.601594719,710.5201702,1133.590487,24,0
0x18800803,1757.960206,942.3333333,8.943743996,721.4455837,7.514750123,0.538192162,611.9409126,1021.471018,25,0
0x18880804,1784.697522,1289.333333,8.716716644,672.2569624,8.787589489,0.503517404,650.1880978,948.1205586,27,0
0x18880805,1690.207929,1038.666667,8.23482061,648.4039296,6.936464916,0.54656236,602.3642985,982.1032398,28,0
0x18880806,1865.002514,1110.333333,9.160188129,676.1311541,4.995182517,0.563088026,680.1986436,1083.668453,29,0
0x18880807,1718.289526,1059.0,8.492627882,686.1224809,11.58192412,0.490714433,568.670027,870.0518742,30,0
0x18800804,1659.787527,1063.333333,8.444530517,703.4923344,6.641538334,0.563505778,624.7708208,964.4273226,31,0
0x18800805,1754.175788,941.3333333,8.523257979,662.7107494,1.051306984,0.756294996,772.8600784,1244.968022,32,0
0x18800806,1692.069633,1882.666667,8.518501595,691.9053838,4.302395634,0.579248699,703.2058733,1116.617241,33,0
0x18800807,1741.850553,1165.666667,8.548472466,667.0108212,7.404143656,0.519960174,664.3023252,1012.110429,34,0
0x18880903,1778.431369,1046.666667,8.773709419,685.2579652,6.10478987,0.565377648,618.2825287,1033.365884,0,0
0x18880902,1763.121246,1000.333333,8.476038228,656.767806,5.394094989,0.579669,612.3277959,1024.469864,1,0
0x18880901,1816.111726,1062.666667,8.762043283,668.637661,6.531996425,0.551710482,615.3851574,964.8093543,2,0
0x18880900,1684.204305,1297.0,8.17288005,684.8107653,12.60364468,0.475361832,591.461695,852.7929024,3,0
0x18800903,1678.4235,1003.333333,7.169447794,564.7046197,5.289718256,0.587079906,616.476262,975.2558421,4,0
0x18800902,1651.543992,1047.333333,7.905218202,649.6633666,8.674433266,0.526714569,584.8963601,918.5100622,5,0
0x18800901,1669.648191,1291.0,8.15039039,681.1418038,9.269419813,0.510666831,599.44292,845.4224483,6,0
0x18800900,1686.043838,1100.333333,8.10848066,654.3324979,7.680903525,0.530584731,611.6153196,895.7107889,7,0
0x18880907,1771.354361,1103.0,8.707232584,670.8719152,14.26181285,0.458574837,580.7297612,985.1428797,9,0
0x18880906,1698.590212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1
0x18880905,1750.788006,1098.666667,8.487049872,656.4148196,8.016043277,0.524859948,607.1744596,973.7048527,11,0
0x18880904,1667.119105,1102.333333,8.044351806,659.2815922,7.983239105,0.527433031,614.4477267,968.6873706,12,0
0x18800907,1850.181515,1289.666667,9.038409824,683.6503673,10.82424614,0.487672038,613.9668118,982.9089301,13,0
0x18800906,1769.777034,1294.333333,8.655696311,679.1435613,6.317587779,0.537679215,685.4876128,984.2656453,14,0
0x18800905,1774.91283,1094.333333,8.587785781,651.6255,8.355616486,0.520402428,595.7535744,987.1219305,15,0
0x18800904,1728.44424,1277.0,8.460774525,669.5539888,12.30975052,0.474904652,595.0537841,1004.320628,16,0
0x18880a00,1736.196813,1118.0,8.376008937,669.2832948,9.58806065,0.500886382,629.2839115,965.5899269,18,0
0x18880a02,1749.937868,1150.333333,8.541874152,651.4486299,11.1022413,0.485373788,577.8288619,973.2320465,20,0
0x18880a03,1774.275479,1170.666667,8.746755291,680.3093071,7.072133278,0.525442671,662.5879244,1030.951084,21,0
0x18800a00,1765.215985,1266.0,8.723891151,665.7632598,13.00560258,0.468331651,577.0620063,981.7290073,22,0
0x18800a01,1835.029217,1096.333333,8.909599053,656.3796458,3.248190054,0.627131797,679.5490193,1066.252328,23,0
0x18800a02,1772.13842,1288.0,8.716972121,681.4588579,9.345629381,0.500509174,627.8581677,941.4485354,24,0
0x18800a03,1830.71593,1283.0,9.022215327,677.9890621,8.540191465,0.506662479,645.8261582,1018.156955,25,0
0x18880a04,1814.775183,1104.0,8.855035108,658.0150964,8.559014567,0.51102278,625.3729704,1009.291472,27,0
0x18880a05,1791.376174,1278.0,8.761082874,663.8547723,10.63861141,0.487030466,605.8537018,996.2780577,28,0
0x18880a06,1773.378135,1267.0,8.636193683,652.5476935,10.95294267,0.485892995,590.5681422,1030.429678,29,0
0x18880a07,1792.560344,1043.666667,8.801686355,666.2395376,2.757987225,0.643732993,688.5626996,1182.932278,30,0
0x18800a04,1718.900368,1098.333333,8.233765094,645.1683057,11.57903533,0.483729687,582.279028,955.9704686,31,0
0x18800a05,1818.036131,1174.666667,9.0513818,700.6431994,3.232984328,0.59684267,761.30825,1245.017419,32,0
